,speaker,date,title,god_count,healthcare_count,war_count,taxes_count,terrorism_count,immigration_count,pandemic_count,reform_count,criminal_count,climate_count,economy_count,sleepy_count,crooks_count,jobs_count,fraud_count,election_count,energy_count,coal_count,folks_count,mexicans_count,muslims_count,steal_count
33,trump,2020-07-04T19:25:54Z,President Trump's full speech at Mount Rushmore | USA TODAY,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,trump,2020-07-19T19:30:10Z,President Trump goes one-on-one with Chris Wallace | Full Interview,1,0,10,0,0,3,2,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0
35,trump,2020-08-04T03:57:59Z,AXIOS on HBO: President Trump Exclusive Interview (Full Episode) | HBO,0,0,6,0,0,0,5,4,4,0,1,0,0,0,0,7,1,0,0,0,0,0
36,trump,2020-08-04T22:46:52Z,"Trump offers Lebanon assistance following explosion, touts' coronavirus response | FULL",0,0,4,0,0,0,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0
37,trump,2020-08-13T13:30:08Z,"Trump slams Kamala Harris, makes 2020 predictions | Full Interview",0,0,8,0,0,0,3,0,0,0,8,1,0,0,6,12,2,0,0,0,0,1
38,trump,2020-08-17T19:56:13Z,WATCH LIVE: President Trump comes to Minnesota for Mankato campaign stop,0,0,4,0,0,0,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0
39,trump,2020-08-18T22:31:25Z,"WATCH: President Trump in Yuma, AZ",3,0,7,0,0,3,1,0,6,0,0,2,0,0,2,7,0,0,0,0,0,0
40,trump,2020-08-20T20:44:15Z,"Trump Delivers Remarks at Mariotti Building Products in Old Forge, Pennsylvania",4,1,20,0,0,0,3,0,6,2,3,1,0,1,2,8,16,1,0,0,0,3
41,trump,2020-08-28T22:42:26Z,President Donald Trump's Full Republican National Convention Speech | NBC10 Philadelphia,8,2,17,0,0,2,3,2,6,1,5,0,0,0,1,4,4,1,0,0,0,1
42,trump,2020-08-30T15:59:49Z,President Trump's Full RNC 2020 Speech | NowThis,8,1,17,0,0,2,3,2,6,1,5,0,0,0,1,4,4,1,0,0,0,1
43,trump,2020-09-01T19:54:33Z,"Jacob Blake protests: Trump announces funding for Kenosha police, businesses during visit | FULL",2,0,7,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
44,trump,2020-09-02T18:54:58Z,"President Trump designates Wilmington, NC as the first American World War II Heritage City | FULL",3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,trump,2020-09-04T00:59:45Z,Trump delivers campaign remarks at Arnold Palmer Regional Airport,6,1,15,0,0,1,5,1,3,1,6,3,0,0,1,17,8,3,0,0,0,0
46,trump,2020-09-09T01:39:01Z,"Raw Video: President Trump Full Speech at Rally in Winston-Salem, NC (High Quality) 9/8/20",4,0,13,0,0,1,0,2,6,0,10,4,0,1,1,11,11,1,0,0,0,1
