group,var1,var2,var3
God,3,3,3
Healthcare,5,9,15
Taxes,9,8,12
Immigrants,6,9,11
Pandemic,5,7,8
Reform,6,9,13
Climate,5,7,14
Jobs,12,15,25
Fraud,1,1,3
Energy,7,8,7
